date,Positivo,Negativo
2023-01-01,1.0,0.0
2023-01-02,2.0,3.0
2023-01-03,3.0,0.0
2023-01-04,2.0,0.0
2023-01-05,2.0,1.0
2023-01-06,3.0,2.0
2023-01-07,3.0,0.0
2023-01-08,0.0,1.0
2023-01-09,1.0,0.0
2023-01-10,3.0,1.0
2023-01-11,4.0,1.0
2023-01-13,2.0,1.0
2023-01-14,4.0,0.0
2023-01-15,1.0,0.0
2023-01-16,1.0,3.0
2023-01-17,5.0,1.0
2023-01-18,3.0,3.0
2023-01-19,3.0,1.0
2023-01-20,5.0,2.0
2023-01-21,1.0,0.0
2023-01-23,5.0,0.0
2023-01-24,7.0,0.0
2023-01-25,3.0,0.0
2023-01-26,3.0,0.0
2023-01-27,4.0,2.0
2023-01-28,4.0,0.0
2023-01-29,1.0,1.0
2023-01-30,3.0,1.0
2023-01-31,1.0,0.0
2023-02-01,3.0,2.0
2023-02-02,4.0,0.0
2023-02-03,2.0,0.0
2023-02-04,2.0,0.0
2023-02-05,1.0,0.0
2023-02-07,1.0,0.0
2023-02-08,1.0,1.0
2023-02-10,1.0,0.0
2023-02-11,3.0,2.0
2023-02-13,4.0,0.0
2023-02-14,2.0,1.0
2023-02-15,0.0,3.0
2023-02-16,2.0,2.0
2023-02-17,1.0,2.0
2023-02-18,2.0,0.0
2023-02-20,1.0,1.0
2023-02-21,0.0,1.0
2023-02-23,3.0,1.0
2023-02-24,0.0,3.0
2023-02-25,1.0,0.0
2023-02-26,6.0,3.0
2023-02-27,7.0,7.0
2023-02-28,4.0,0.0
2023-03-01,0.0,1.0
2023-03-02,3.0,0.0
2023-03-03,1.0,4.0
2023-03-04,0.0,2.0
2023-03-06,0.0,2.0
2023-03-07,2.0,1.0
2023-03-08,4.0,2.0
2023-03-09,3.0,1.0
2023-03-10,0.0,1.0
2023-03-11,1.0,0.0
2023-03-12,1.0,2.0
2023-03-13,9.0,2.0
2023-03-14,3.0,1.0
2023-03-15,5.0,1.0
2023-03-16,6.0,0.0
2023-03-17,5.0,0.0
2023-03-18,1.0,0.0
2023-03-19,1.0,0.0
2023-03-21,0.0,1.0
2023-03-22,2.0,0.0
2023-03-23,3.0,0.0
2023-03-24,5.0,1.0
2023-03-25,1.0,1.0
2023-03-26,2.0,1.0
2023-03-28,4.0,4.0
2023-03-29,4.0,3.0
2023-03-30,2.0,0.0
2023-03-31,2.0,1.0
2023-04-01,2.0,0.0
2023-04-03,4.0,0.0
2023-04-04,0.0,1.0
2023-04-06,1.0,1.0
2023-04-08,2.0,0.0
2023-04-11,2.0,0.0
2023-04-13,1.0,1.0
2023-04-14,2.0,1.0
2023-04-15,2.0,0.0
2023-04-17,1.0,0.0
2023-04-18,0.0,1.0
2023-04-19,4.0,0.0
2023-05-12,4.0,1.0
2023-05-13,1.0,0.0
2023-05-15,5.0,3.0
2023-05-16,6.0,1.0
2023-05-17,4.0,0.0
2023-05-18,1.0,1.0
2023-05-19,2.0,1.0
2023-05-20,1.0,0.0
2023-05-21,2.0,0.0
2023-05-22,3.0,0.0
2023-05-23,1.0,2.0
2023-05-24,1.0,2.0
2023-05-25,2.0,0.0
2023-05-27,1.0,2.0
2023-05-29,3.0,0.0
2023-05-30,3.0,0.0
2023-05-31,2.0,1.0
2023-06-01,2.0,1.0
2023-06-02,4.0,0.0
2023-06-03,5.0,0.0
2023-06-05,3.0,0.0
2023-06-06,0.0,1.0
2023-06-07,2.0,0.0
2023-06-08,0.0,1.0
2023-06-10,1.0,0.0
2023-06-12,0.0,1.0
2023-06-13,1.0,0.0
2023-06-15,1.0,1.0
2023-06-16,2.0,0.0
2023-06-17,1.0,0.0
2023-06-18,1.0,0.0
2023-06-19,3.0,1.0
2023-06-20,4.0,1.0
2023-06-21,4.0,1.0
2023-06-22,1.0,2.0
2023-06-23,1.0,0.0
2023-06-24,0.0,1.0
2023-06-27,1.0,0.0
2023-06-28,3.0,1.0
2023-06-29,1.0,1.0
2023-06-30,2.0,0.0
2023-07-01,1.0,0.0
2023-07-02,1.0,0.0
2023-07-03,1.0,0.0
2023-07-04,4.0,2.0
2023-07-05,1.0,0.0
2023-07-06,2.0,2.0
2023-07-07,1.0,1.0
2023-07-08,0.0,1.0
2023-07-09,1.0,0.0
2023-07-10,0.0,1.0
2023-07-11,4.0,0.0
2023-07-13,2.0,0.0
2023-07-14,1.0,2.0
2023-07-15,1.0,2.0
2023-07-16,1.0,0.0
2023-07-17,0.0,1.0
2023-07-18,3.0,1.0
2023-07-19,2.0,2.0
2023-07-21,3.0,0.0
2023-07-22,2.0,0.0
2023-07-23,1.0,2.0
2023-07-24,2.0,0.0
2023-07-27,0.0,1.0
2023-07-28,1.0,2.0
2023-07-29,2.0,0.0
2023-07-30,1.0,0.0
2023-08-01,3.0,1.0
2023-08-02,2.0,0.0
2023-08-04,2.0,0.0
2023-08-05,3.0,0.0
2023-08-06,1.0,0.0
2023-08-07,1.0,1.0
2023-08-08,0.0,1.0
2023-08-09,1.0,1.0
2023-08-10,1.0,0.0
2023-08-12,1.0,1.0
2023-08-15,0.0,1.0
2023-08-18,2.0,0.0
2023-08-19,1.0,0.0
2023-08-22,0.0,1.0
2023-08-23,0.0,1.0
2023-08-25,0.0,2.0
2023-08-28,2.0,0.0
2023-08-30,0.0,1.0
2023-08-31,1.0,0.0
2023-09-01,3.0,0.0
2023-09-04,0.0,1.0
2023-09-05,3.0,1.0
2023-09-10,1.0,0.0
2023-09-12,2.0,0.0
2023-09-13,4.0,0.0
2023-09-14,1.0,1.0
2023-09-15,2.0,0.0
2023-09-16,3.0,3.0
2023-09-17,2.0,0.0
2023-09-18,2.0,0.0
2023-09-19,4.0,2.0
2023-09-20,3.0,1.0
2023-09-22,1.0,0.0
2023-09-23,0.0,1.0
2023-09-24,0.0,1.0
2023-09-26,3.0,0.0
2023-09-27,1.0,0.0
2023-09-28,1.0,0.0
2023-09-30,1.0,0.0
2023-10-02,1.0,0.0
2023-10-03,1.0,1.0
2023-10-05,1.0,0.0
2023-10-06,1.0,0.0
2023-10-11,1.0,0.0
2023-10-12,0.0,1.0
2023-10-13,2.0,0.0
2023-10-14,2.0,0.0
2023-10-16,1.0,0.0
2023-10-17,1.0,0.0
2023-10-18,1.0,0.0
2023-10-19,1.0,0.0
2023-10-20,1.0,0.0
2023-10-21,1.0,1.0
2023-10-22,1.0,0.0
2023-10-23,2.0,0.0
2023-10-24,2.0,1.0
2023-10-25,4.0,1.0
2023-10-26,2.0,1.0
2023-10-27,3.0,4.0
2023-10-28,5.0,5.0
2023-10-29,1.0,0.0
2023-10-30,3.0,2.0
2023-10-31,7.0,3.0
2023-11-01,2.0,0.0
2023-11-02,5.0,1.0
2023-11-03,2.0,2.0
2023-11-04,1.0,0.0
2023-11-07,0.0,1.0
2023-11-08,3.0,1.0
2023-11-09,2.0,0.0
2023-11-10,4.0,0.0
2023-11-11,0.0,1.0
2023-11-14,2.0,1.0
2023-11-16,1.0,0.0
2023-11-17,1.0,0.0
2023-11-18,1.0,0.0
2023-11-21,0.0,1.0
2023-11-23,0.0,1.0
2023-11-25,5.0,2.0
2023-11-26,1.0,1.0
2023-11-27,1.0,1.0
2023-11-28,1.0,0.0
2023-11-29,1.0,0.0
2023-11-30,1.0,0.0
2023-12-01,2.0,1.0
2023-12-02,2.0,0.0
2023-12-05,1.0,0.0
2023-12-07,0.0,2.0
2023-12-09,0.0,2.0
2023-12-14,2.0,2.0
2023-12-15,0.0,1.0
2023-12-17,2.0,0.0
2023-12-18,1.0,0.0
2023-12-19,1.0,0.0
2023-12-22,2.0,2.0
2023-12-27,0.0,1.0
2023-12-28,1.0,0.0
2023-12-30,1.0,0.0
2024-01-01,1.0,1.0
2024-01-02,1.0,0.0
2024-01-04,3.0,0.0
2024-01-05,1.0,0.0
2024-01-07,2.0,0.0
2024-01-08,1.0,0.0
2024-01-09,1.0,1.0
2024-01-10,2.0,0.0
2024-01-11,1.0,0.0
2024-01-13,1.0,0.0
2024-01-14,0.0,1.0
2024-01-15,1.0,0.0
2024-01-16,1.0,0.0
2024-01-17,4.0,1.0
2024-01-18,1.0,0.0
2024-01-19,2.0,0.0
2024-01-21,4.0,1.0
2024-01-22,3.0,1.0
2024-01-23,0.0,1.0
2024-01-25,1.0,0.0
2024-01-26,2.0,0.0
2024-01-29,2.0,0.0
2024-01-30,0.0,1.0
2024-02-01,1.0,1.0
2024-02-02,1.0,0.0
2024-02-06,0.0,1.0
2024-02-07,0.0,1.0
2024-02-08,4.0,0.0
2024-02-09,1.0,0.0
2024-02-10,1.0,0.0
2024-02-11,0.0,1.0
2024-02-12,3.0,0.0
2024-02-13,3.0,0.0
2024-02-19,1.0,0.0
2024-02-20,0.0,1.0
2024-02-21,0.0,1.0
2024-02-22,1.0,0.0
2024-02-29,1.0,0.0
2024-03-01,2.0,1.0
2024-03-02,0.0,1.0
2024-03-06,2.0,0.0
2024-03-08,1.0,0.0
2024-03-13,2.0,0.0
2024-03-15,0.0,1.0
2024-03-16,0.0,1.0
2024-03-18,1.0,1.0
2024-03-19,1.0,0.0
2024-03-22,1.0,0.0
2024-03-23,1.0,0.0
2024-03-26,0.0,1.0
2024-03-27,2.0,0.0
2024-03-28,1.0,2.0
2024-03-30,2.0,0.0
2024-03-31,2.0,0.0
2024-04-04,1.0,1.0
2024-04-05,0.0,1.0
2024-04-07,1.0,0.0
2024-04-10,2.0,1.0
2024-04-12,0.0,1.0
2024-04-15,1.0,0.0
2024-04-16,1.0,0.0
2024-04-17,1.0,0.0
2024-04-18,2.0,1.0
2024-04-21,1.0,0.0
2024-04-23,2.0,0.0
2024-04-25,0.0,1.0
2024-04-26,1.0,0.0
